N,Componente,Nombre,Capa CAD,Medidas mm,Cantidad,Material,Fabricacion,Confianza
1,Cajon y estructura,Perfil estructural 30x30x1086,Perfil25-25,30x30x1086,4,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
2,Cajon y estructura,Perfil estructural 25x25x934,Perfil25-25,25x25x934,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
3,Cajon y estructura,Perfil estructural 25x25x654,Perfil25-25,25x25x654,4,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
4,Cajon y estructura,Perfil estructural 25x25x609,Perfil25-25,25x25x609,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
5,Cajon y estructura,Perfil estructural 30x30x577,Perfil25-25,30x30x577,4,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
6,Cajon y estructura,Perfil estructural 40x40x461,Perfil25-25,40x40x461,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
7,Cajon y estructura,Chapa caja 85x333x459,Chapa-Caja,85x333x459,1,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
8,Cajon y estructura,Perfil estructural 25x25x448,Perfil25-25,25x25x448,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
9,Cajon y estructura,Perfil estructural 25x25x406,Perfil25-25,25x25x406,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
10,Cajon y estructura,Perfil estructural 25x25x191,Perfil25-25,25x25x191,1,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
11,Cajon y estructura,Perfil estructural 30x122x143,Perfil25-25,30x122x143,2,Tubo estructural 25x25 / 30x30 segun CAD,cortar,envolvente
12,Contrafondo y cerramientos,Panel MDF 18 mm 22x784x1169,MDF18mm,22x784x1169,2,Tablero MDF 18 mm,cortar tablero (VER CAD),envolvente
13,Contrafondo y cerramientos,Panel MDF 6x497x1021,MDF55,6x497x1021,1,Tablero MDF,cortar tablero (VER CAD),envolvente
14,Contrafondo y cerramientos,Panel MDF 7x472x982,MDF55,7x472x982,1,Tablero MDF,cortar tablero (VER CAD),envolvente
15,Contrafondo y cerramientos,Panel MDF 18 mm 22x601x659,MDF18mm,22x601x659,1,Tablero MDF 18 mm,cortar tablero (VER CAD),envolvente
16,Contrafondo y cerramientos,Panel MDF 18 mm 18x501x654,MDF18mm,18x501x654,1,Tablero MDF 18 mm,cortar tablero (VER CAD),envolvente
17,Contrafondo y cerramientos,Chapa soporte inferior 24x24x504,Chapa-SoporteInferior,24x24x504,2,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
18,Contrafondo y cerramientos,Chapa soporte inferior 24x24x486,Chapa-SoporteInferior,24x24x486,1,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
19,Contrafondo y cerramientos,Chapa soporte inferior 1x192x468,Chapa-SoporteInferior,1x192x468,1,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
20,Contrafondo y cerramientos,Chapa paredon 53x163x379,Chapa-Paredon,53x163x379,1,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
21,Contrafondo y cerramientos,Chapa paredon 264x291x359,Chapa-Paredon,264x291x359,1,Chapa metalica plegada,cortar + plegar (VER CAD),envolvente
22,Contrafondo y cerramientos,Chapa 1/8 pulg. 3x22x261,Chapa 1/8,3x22x261,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
23,Contrafondo y cerramientos,Chapa 1/8 pulg. 3x88x122,Chapa 1/8,3x88x122,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
24,Contrafondo y cerramientos,Chapa 1/8 pulg. 4x90x108,Chapa 1/8,4x90x108,1,Chapa 1/8 pulg. (~3.2 mm),cortar + plegar (VER CAD),envolvente
